,RunId,iteration,Step,width,height,sheep_reproduce,wolf_reproduce,wolf_gain_from_food,grass,grass_regrowth_time,sheep_gain_from_food,initial_sheep,initial_wolves,diseaseLimiar,Wolves,Sheep
0,0,0,0,20,20,0.04,0.05,20,True,30,4,50,50,0.5,50,50
1,0,0,10,20,20,0.04,0.05,20,True,30,4,50,50,0.5,60,30
2,1,0,0,20,20,0.04,0.05,20,True,30,4,50,50,0.25,50,50
3,1,0,10,20,20,0.04,0.05,20,True,30,4,50,50,0.25,60,34
4,2,0,0,20,20,0.04,0.05,20,True,30,4,50,50,0.75,50,50
5,2,0,10,20,20,0.04,0.05,20,True,30,4,50,50,0.75,58,22
6,3,0,0,20,20,0.04,0.05,20,True,30,4,50,100,0.25,100,50
7,3,0,10,20,20,0.04,0.05,20,True,30,4,50,100,0.25,93,35
8,4,0,0,20,20,0.04,0.05,20,True,30,4,50,50,0.0,50,50
9,4,0,10,20,20,0.04,0.05,20,True,30,4,50,50,0.0,47,47
10,5,0,0,20,20,0.04,0.05,20,True,30,4,50,100,0.0,100,50
11,5,0,10,20,20,0.04,0.05,20,True,30,4,50,100,0.0,116,42
12,6,0,0,20,20,0.04,0.05,20,True,30,4,50,100,0.75,100,50
13,6,0,10,20,20,0.04,0.05,20,True,30,4,50,100,0.75,115,11
14,7,0,0,20,20,0.04,0.05,20,True,30,4,50,150,0.0,150,50
15,7,0,10,20,20,0.04,0.05,20,True,30,4,50,150,0.0,153,45
16,8,0,0,20,20,0.04,0.05,20,True,30,4,50,150,0.5,150,50
17,8,0,10,20,20,0.04,0.05,20,True,30,4,50,150,0.5,170,29
18,9,0,0,20,20,0.04,0.05,20,True,30,4,100,50,0.0,50,100
19,9,0,10,20,20,0.04,0.05,20,True,30,4,100,50,0.0,43,66
20,10,0,0,20,20,0.04,0.05,20,True,30,4,50,150,0.75,150,50
21,10,0,10,20,20,0.04,0.05,20,True,30,4,50,150,0.75,167,24
22,11,0,0,20,20,0.04,0.05,20,True,30,4,50,150,0.25,150,50
23,11,0,10,20,20,0.04,0.05,20,True,30,4,50,150,0.25,175,32
24,12,0,0,20,20,0.04,0.05,20,True,30,4,50,100,0.5,100,50
25,12,0,10,20,20,0.04,0.05,20,True,30,4,50,100,0.5,108,26
26,13,0,0,20,20,0.04,0.05,20,True,30,4,100,50,0.5,50,100
27,13,0,10,20,20,0.04,0.05,20,True,30,4,100,50,0.5,48,47
28,14,0,0,20,20,0.04,0.05,20,True,30,4,100,50,0.25,50,100
29,14,0,10,20,20,0.04,0.05,20,True,30,4,100,50,0.25,51,60
30,15,0,0,20,20,0.04,0.05,20,True,30,4,100,50,0.75,50,100
31,15,0,10,20,20,0.04,0.05,20,True,30,4,100,50,0.75,60,32
32,16,0,0,20,20,0.04,0.05,20,True,30,4,100,100,0.0,100,100
33,16,0,10,20,20,0.04,0.05,20,True,30,4,100,100,0.0,102,66
34,17,0,0,20,20,0.04,0.05,20,True,30,4,100,150,0.25,150,100
35,17,0,10,20,20,0.04,0.05,20,True,30,4,100,150,0.25,158,43
36,18,0,0,20,20,0.04,0.05,20,True,30,4,100,100,0.75,100,100
37,18,0,10,20,20,0.04,0.05,20,True,30,4,100,100,0.75,130,33
38,19,0,0,20,20,0.04,0.05,20,True,30,4,100,100,0.25,100,100
