,RunId,iteration,Step,width,height,sheep_reproduce,wolf_reproduce,wolf_gain_from_food,grass,grass_regrowth_time,sheep_gain_from_food,initial_sheep,initial_wolves,diseaseLimiar,Wolves,Sheep,Ill sheep rate
57,57,1,600,20,20,0.04,0.05,20,True,30,4,50,150,0.5,0,34,0.8529411764705882
58,58,1,600,20,20,0.04,0.05,20,True,30,4,100,50,0.0,0,30,2.7
59,59,1,600,20,20,0.04,0.05,20,True,30,4,50,150,0.75,0,37,0.3783783783783784
60,60,1,600,20,20,0.04,0.05,20,True,30,4,50,150,1.0,0,35,0.0
61,61,1,600,20,20,0.04,0.05,20,True,30,4,100,100,0.0,0,0,0.0
62,62,1,600,20,20,0.04,0.05,20,True,30,4,100,50,0.25,0,34,2.0
63,63,1,600,20,20,0.04,0.05,20,True,30,4,100,50,0.5,0,31,1.096774193548387
64,64,1,600,20,20,0.04,0.05,20,True,30,4,100,50,0.75,0,41,0.43902439024390244
65,65,1,600,20,20,0.04,0.05,20,True,30,4,100,50,1.0,0,27,0.0
66,66,1,600,20,20,0.04,0.05,20,True,30,4,100,100,0.25,0,28,2.392857142857143
67,67,1,600,20,20,0.04,0.05,20,True,30,4,100,150,0.0,0,0,0.0
68,68,1,600,20,20,0.04,0.05,20,True,30,4,100,100,0.75,0,29,0.7241379310344828
69,69,1,600,20,20,0.04,0.05,20,True,30,4,100,100,0.5,0,25,1.84
70,70,1,600,20,20,0.04,0.05,20,True,30,4,100,100,1.0,0,34,0.0
71,71,1,600,20,20,0.04,0.05,20,True,30,4,150,50,0.0,0,0,0.0
72,72,1,600,20,20,0.04,0.05,20,True,30,4,100,150,0.25,0,43,1.8604651162790697
73,73,1,600,20,20,0.04,0.05,20,True,30,4,100,150,0.75,0,39,0.5384615384615384
74,74,1,600,20,20,0.04,0.05,20,True,30,4,100,150,0.5,0,25,2.2
75,75,1,600,20,20,0.04,0.05,20,True,30,4,100,150,1.0,0,34,0.0
76,76,1,600,20,20,0.04,0.05,20,True,30,4,150,50,0.25,0,31,2.7096774193548385
77,77,1,600,20,20,0.04,0.05,20,True,30,4,150,50,0.5,0,35,1.7714285714285714
78,78,1,600,20,20,0.04,0.05,20,True,30,4,150,100,0.0,0,0,0.0
79,79,1,600,20,20,0.04,0.05,20,True,30,4,150,50,0.75,0,34,1.1176470588235294
80,80,1,600,20,20,0.04,0.05,20,True,30,4,150,50,1.0,0,33,0.0
81,81,1,600,20,20,0.04,0.05,20,True,30,4,150,100,0.25,0,31,2.903225806451613
82,82,1,600,20,20,0.04,0.05,20,True,30,4,150,150,0.0,0,0,0.0
83,83,1,600,20,20,0.04,0.05,20,True,30,4,150,100,0.5,0,38,1.6842105263157894
84,84,1,600,20,20,0.04,0.05,20,True,30,4,150,100,0.75,0,39,0.8717948717948718
85,85,1,600,20,20,0.04,0.05,20,True,30,4,150,100,1.0,0,31,0.0
86,86,1,600,20,20,0.04,0.05,20,True,30,4,150,150,0.5,0,36,2.388888888888889
87,87,1,600,20,20,0.04,0.05,20,True,30,4,150,150,0.25,0,31,3.903225806451613
88,88,1,600,20,20,0.04,0.05,20,True,30,4,150,150,1.0,0,36,0.0
89,89,1,600,20,20,0.04,0.05,20,True,30,4,150,150,0.75,0,32,1.3125
90,90,2,600,20,20,0.04,0.05,20,True,30,4,50,50,0.0,0,29,1.6896551724137931
91,91,2,600,20,20,0.04,0.05,20,True,30,4,50,50,0.5,0,31,0.8064516129032258
92,92,2,600,20,20,0.04,0.05,20,True,30,4,50,50,0.25,0,31,1.2580645161290323
93,93,2,600,20,20,0.04,0.05,20,True,30,4,50,100,0.0,0,0,0.0
94,94,2,600,20,20,0.04,0.05,20,True,30,4,50,50,0.75,0,28,0.42857142857142855
95,95,2,600,20,20,0.04,0.05,20,True,30,4,50,50,1.0,0,24,0.0
96,96,2,600,20,20,0.04,0.05,20,True,30,4,50,150,0.0,0,0,0.0
97,97,2,600,20,20,0.04,0.05,20,True,30,4,50,100,0.25,0,36,1.1388888888888888
98,98,2,600,20,20,0.04,0.05,20,True,30,4,50,100,0.75,0,39,0.3076923076923077
99,99,2,600,20,20,0.04,0.05,20,True,30,4,50,100,0.5,0,24,0.8333333333333334
100,100,2,600,20,20,0.04,0.05,20,True,30,4,50,100,1.0,0,30,0.0
101,101,2,600,20,20,0.04,0.05,20,True,30,4,50,150,0.25,0,28,1.6071428571428572
102,102,2,600,20,20,0.04,0.05,20,True,30,4,100,50,0.0,0,0,0.0
103,103,2,600,20,20,0.04,0.05,20,True,30,4,50,150,0.5,0,30,1.1
104,104,2,600,20,20,0.04,0.05,20,True,30,4,50,150,0.75,0,45,0.4666666666666667
105,105,2,600,20,20,0.04,0.05,20,True,30,4,50,150,1.0,0,33,0.0
106,106,2,600,20,20,0.04,0.05,20,True,30,4,100,100,0.0,0,0,0.0
107,107,2,600,20,20,0.04,0.05,20,True,30,4,100,50,0.25,0,32,1.84375
108,108,2,600,20,20,0.04,0.05,20,True,30,4,100,50,0.5,0,33,1.1818181818181819
109,109,2,600,20,20,0.04,0.05,20,True,30,4,100,50,0.75,0,44,0.3181818181818182
110,110,2,600,20,20,0.04,0.05,20,True,30,4,100,50,1.0,0,35,0.0
111,111,2,600,20,20,0.04,0.05,20,True,30,4,100,100,0.5,0,44,1.0681818181818181
112,112,2,600,20,20,0.04,0.05,20,True,30,4,100,100,0.25,0,42,1.9523809523809523
113,113,2,600,20,20,0.04,0.05,20,True,30,4,100,150,0.0,0,0,0.0
114,114,2,600,20,20,0.04,0.05,20,True,30,4,100,100,1.0,0,37,0.0
115,115,2,600,20,20,0.04,0.05,20,True,30,4,100,100,0.75,0,36,0.8888888888888888
116,116,2,600,20,20,0.04,0.05,20,True,30,4,100,150,0.25,0,34,2.5
117,117,2,600,20,20,0.04,0.05,20,True,30,4,100,150,0.5,0,33,1.696969696969697
118,118,2,600,20,20,0.04,0.05,20,True,30,4,100,150,0.75,0,29,1.103448275862069
119,119,2,600,20,20,0.04,0.05,20,True,30,4,100,150,1.0,0,29,0.0
120,120,2,600,20,20,0.04,0.05,20,True,30,4,150,50,0.0,0,38,2.4210526315789473
121,121,2,600,20,20,0.04,0.05,20,True,30,4,150,50,0.25,0,30,2.566666666666667
122,122,2,600,20,20,0.04,0.05,20,True,30,4,150,50,0.5,0,31,1.4193548387096775
123,123,2,600,20,20,0.04,0.05,20,True,30,4,150,100,0.0,0,0,0.0
124,124,2,600,20,20,0.04,0.05,20,True,30,4,150,50,0.75,0,31,1.0
125,125,2,600,20,20,0.04,0.05,20,True,30,4,150,50,1.0,0,32,0.0
126,126,2,600,20,20,0.04,0.05,20,True,30,4,150,150,0.0,0,0,0.0
127,127,2,600,20,20,0.04,0.05,20,True,30,4,150,100,0.5,0,43,1.186046511627907
128,128,2,600,20,20,0.04,0.05,20,True,30,4,150,100,0.25,0,37,2.7837837837837838
129,129,2,600,20,20,0.04,0.05,20,True,30,4,150,100,0.75,0,25,1.48
130,130,2,600,20,20,0.04,0.05,20,True,30,4,150,100,1.0,0,40,0.0
131,131,2,600,20,20,0.04,0.05,20,True,30,4,150,150,0.25,0,41,2.7804878048780486
132,132,2,600,20,20,0.04,0.05,20,True,30,4,150,150,0.5,0,24,2.8333333333333335
133,133,3,600,20,20,0.04,0.05,20,True,30,4,50,50,0.0,0,20,2.3
134,134,2,600,20,20,0.04,0.05,20,True,30,4,150,150,1.0,0,30,0.0
135,135,2,600,20,20,0.04,0.05,20,True,30,4,150,150,0.75,0,30,1.3
136,136,3,600,20,20,0.04,0.05,20,True,30,4,50,50,0.25,0,27,2.5185185185185186
137,137,3,600,20,20,0.04,0.05,20,True,30,4,50,50,0.75,0,29,0.2413793103448276
138,138,3,600,20,20,0.04,0.05,20,True,30,4,50,50,0.5,0,36,0.7222222222222222
139,139,3,600,20,20,0.04,0.05,20,True,30,4,50,50,1.0,0,24,0.0
140,140,3,600,20,20,0.04,0.05,20,True,30,4,50,100,0.5,0,35,1.0
141,141,3,600,20,20,0.04,0.05,20,True,30,4,50,150,0.0,0,0,0.0
142,142,3,600,20,20,0.04,0.05,20,True,30,4,50,100,0.25,0,34,1.2352941176470589
143,143,3,600,20,20,0.04,0.05,20,True,30,4,50,100,0.0,0,33,1.2121212121212122
144,144,3,600,20,20,0.04,0.05,20,True,30,4,50,100,0.75,0,42,0.3333333333333333
145,145,3,600,20,20,0.04,0.05,20,True,30,4,50,100,1.0,0,35,0.0
146,146,3,600,20,20,0.04,0.05,20,True,30,4,50,150,0.25,0,25,1.48
147,147,3,600,20,20,0.04,0.05,20,True,30,4,100,50,0.0,0,30,2.8
148,148,3,600,20,20,0.04,0.05,20,True,30,4,50,150,0.75,0,30,0.6333333333333333
149,149,3,600,20,20,0.04,0.05,20,True,30,4,50,150,0.5,0,40,1.0
150,150,3,600,20,20,0.04,0.05,20,True,30,4,50,150,1.0,0,35,0.0
151,151,3,600,20,20,0.04,0.05,20,True,30,4,100,50,0.25,0,26,2.923076923076923
152,152,3,600,20,20,0.04,0.05,20,True,30,4,100,50,0.5,0,40,1.0
153,153,3,600,20,20,0.04,0.05,20,True,30,4,100,100,0.0,0,0,0.0
154,154,3,600,20,20,0.04,0.05,20,True,30,4,100,50,0.75,0,29,0.7241379310344828
155,155,3,600,20,20,0.04,0.05,20,True,30,4,100,50,1.0,0,25,0.0
156,156,3,600,20,20,0.04,0.05,20,True,30,4,100,150,0.0,0,0,0.0
157,157,3,600,20,20,0.04,0.05,20,True,30,4,100,100,0.75,0,34,0.9117647058823529
158,158,3,600,20,20,0.04,0.05,20,True,30,4,100,100,0.25,0,45,1.6888888888888889
159,159,3,600,20,20,0.04,0.05,20,True,30,4,100,100,0.5,0,27,1.3333333333333333
160,160,3,600,20,20,0.04,0.05,20,True,30,4,100,100,1.0,0,35,0.0
161,161,3,600,20,20,0.04,0.05,20,True,30,4,100,150,0.25,0,38,2.1842105263157894
162,162,3,600,20,20,0.04,0.05,20,True,30,4,100,150,0.5,0,31,1.8387096774193548
163,163,3,600,20,20,0.04,0.05,20,True,30,4,150,50,0.0,0,0,0.0
164,164,3,600,20,20,0.04,0.05,20,True,30,4,100,150,0.75,0,28,0.9285714285714286
165,165,3,600,20,20,0.04,0.05,20,True,30,4,150,50,0.25,0,31,2.806451612903226
166,166,3,600,20,20,0.04,0.05,20,True,30,4,100,150,1.0,0,32,0.0
167,167,3,600,20,20,0.04,0.05,20,True,30,4,150,100,0.0,0,0,0.0
168,168,3,600,20,20,0.04,0.05,20,True,30,4,150,50,0.75,0,46,0.43478260869565216
169,169,3,600,20,20,0.04,0.05,20,True,30,4,150,50,0.5,0,41,1.3170731707317074
170,170,3,600,20,20,0.04,0.05,20,True,30,4,150,100,0.5,0,31,2.0
171,171,3,600,20,20,0.04,0.05,20,True,30,4,150,100,0.25,0,34,2.764705882352941
172,172,3,600,20,20,0.04,0.05,20,True,30,4,150,150,0.0,0,0,0.0
173,173,3,600,20,20,0.04,0.05,20,True,30,4,150,50,1.0,0,25,0.0
174,174,3,600,20,20,0.04,0.05,20,True,30,4,150,100,0.75,0,41,0.7317073170731707
175,175,3,600,20,20,0.04,0.05,20,True,30,4,150,100,1.0,0,34,0.0
176,176,3,600,20,20,0.04,0.05,20,True,30,4,150,150,0.5,0,31,2.6451612903225805
177,177,3,600,20,20,0.04,0.05,20,True,30,4,150,150,0.25,0,34,3.088235294117647
178,178,3,600,20,20,0.04,0.05,20,True,30,4,150,150,0.75,0,29,1.4137931034482758
179,179,4,600,20,20,0.04,0.05,20,True,30,4,50,50,0.0,0,37,1.2972972972972974
180,180,3,600,20,20,0.04,0.05,20,True,30,4,150,150,1.0,0,30,0.0
181,181,4,600,20,20,0.04,0.05,20,True,30,4,50,50,0.25,0,33,1.0
182,182,4,600,20,20,0.04,0.05,20,True,30,4,50,50,0.5,0,28,0.8571428571428571
183,183,4,600,20,20,0.04,0.05,20,True,30,4,50,100,0.0,0,0,0.0
184,184,4,600,20,20,0.04,0.05,20,True,30,4,50,50,0.75,0,44,0.22727272727272727
185,185,4,600,20,20,0.04,0.05,20,True,30,4,50,50,1.0,0,36,0.0
186,186,4,600,20,20,0.04,0.05,20,True,30,4,50,100,0.25,0,39,1.0769230769230769
187,187,4,600,20,20,0.04,0.05,20,True,30,4,50,150,0.0,0,0,0.0
188,188,4,600,20,20,0.04,0.05,20,True,30,4,50,100,0.5,0,44,0.5227272727272727
189,189,4,600,20,20,0.04,0.05,20,True,30,4,50,100,1.0,0,34,0.0
190,190,4,600,20,20,0.04,0.05,20,True,30,4,50,100,0.75,0,31,0.5806451612903226
191,191,4,600,20,20,0.04,0.05,20,True,30,4,50,150,0.25,0,37,1.0810810810810811
192,192,4,600,20,20,0.04,0.05,20,True,30,4,100,50,0.0,0,0,0.0
193,193,4,600,20,20,0.04,0.05,20,True,30,4,50,150,0.5,0,37,1.135135135135135
194,194,4,600,20,20,0.04,0.05,20,True,30,4,50,150,0.75,0,32,0.46875
195,195,4,600,20,20,0.04,0.05,20,True,30,4,100,50,0.5,0,30,1.4666666666666666
196,196,4,600,20,20,0.04,0.05,20,True,30,4,50,150,1.0,0,30,0.0
197,197,4,600,20,20,0.04,0.05,20,True,30,4,100,100,0.0,0,0,0.0
198,198,4,600,20,20,0.04,0.05,20,True,30,4,100,50,0.25,0,24,2.75
199,199,4,600,20,20,0.04,0.05,20,True,30,4,100,50,0.75,0,31,0.4838709677419355
200,200,4,600,20,20,0.04,0.05,20,True,30,4,100,50,1.0,0,34,0.0
201,201,4,600,20,20,0.04,0.05,20,True,30,4,100,100,0.25,0,43,1.7674418604651163
202,202,4,600,20,20,0.04,0.05,20,True,30,4,100,150,0.0,0,0,0.0
203,203,4,600,20,20,0.04,0.05,20,True,30,4,100,100,0.75,0,24,1.125
204,204,4,600,20,20,0.04,0.05,20,True,30,4,100,100,0.5,0,31,1.967741935483871
205,205,4,600,20,20,0.04,0.05,20,True,30,4,100,100,1.0,0,35,0.0
206,206,4,600,20,20,0.04,0.05,20,True,30,4,100,150,0.25,0,26,2.923076923076923
207,207,4,600,20,20,0.04,0.05,20,True,30,4,150,50,0.0,0,0,0.0
208,208,4,600,20,20,0.04,0.05,20,True,30,4,100,150,0.5,0,33,1.3333333333333333
209,209,4,600,20,20,0.04,0.05,20,True,30,4,100,150,0.75,0,33,0.5757575757575758
210,210,4,600,20,20,0.04,0.05,20,True,30,4,100,150,1.0,0,41,0.0
211,211,4,600,20,20,0.04,0.05,20,True,30,4,150,50,0.5,0,41,1.170731707317073
212,212,4,600,20,20,0.04,0.05,20,True,30,4,150,100,0.0,0,0,0.0
213,213,4,600,20,20,0.04,0.05,20,True,30,4,150,50,0.25,0,44,1.5909090909090908
214,214,4,600,20,20,0.04,0.05,20,True,30,4,150,50,0.75,0,33,0.9090909090909091
215,215,4,600,20,20,0.04,0.05,20,True,30,4,150,50,1.0,0,34,0.0
216,216,4,600,20,20,0.04,0.05,20,True,30,4,150,100,0.25,0,39,2.4615384615384617
217,217,4,600,20,20,0.04,0.05,20,True,30,4,150,150,0.0,0,0,0.0
218,218,4,600,20,20,0.04,0.05,20,True,30,4,150,100,0.5,0,40,1.575
219,219,4,600,20,20,0.04,0.05,20,True,30,4,150,100,1.0,0,29,0.0
220,220,4,600,20,20,0.04,0.05,20,True,30,4,150,100,0.75,0,39,0.6923076923076923
221,221,4,600,20,20,0.04,0.05,20,True,30,4,150,150,0.25,0,32,3.5625
222,222,4,600,20,20,0.04,0.05,20,True,30,4,150,150,0.5,0,36,2.3333333333333335
223,223,4,600,20,20,0.04,0.05,20,True,30,4,150,150,1.0,0,25,0.0
224,224,4,600,20,20,0.04,0.05,20,True,30,4,150,150,0.75,0,37,0.7567567567567568
225,225,5,600,20,20,0.04,0.05,20,True,30,4,50,50,0.0,0,30,1.5333333333333334
226,226,5,600,20,20,0.04,0.05,20,True,30,4,50,50,0.5,0,40,0.55
227,227,5,600,20,20,0.04,0.05,20,True,30,4,50,50,0.25,0,29,1.8275862068965518
228,228,5,600,20,20,0.04,0.05,20,True,30,4,50,100,0.0,0,0,0.0
229,229,5,600,20,20,0.04,0.05,20,True,30,4,50,50,0.75,0,35,0.2
230,230,5,600,20,20,0.04,0.05,20,True,30,4,50,50,1.0,0,31,0.0
231,231,5,600,20,20,0.04,0.05,20,True,30,4,50,150,0.0,0,0,0.0
232,232,5,600,20,20,0.04,0.05,20,True,30,4,50,100,0.5,0,31,1.096774193548387
233,233,5,600,20,20,0.04,0.05,20,True,30,4,50,100,0.25,0,32,1.46875
234,234,5,600,20,20,0.04,0.05,20,True,30,4,50,100,1.0,0,28,0.0
235,235,5,600,20,20,0.04,0.05,20,True,30,4,50,100,0.75,0,38,0.2894736842105263
236,236,5,600,20,20,0.04,0.05,20,True,30,4,100,50,0.0,0,0,0.0
237,237,5,600,20,20,0.04,0.05,20,True,30,4,50,150,0.25,0,29,1.4827586206896552
238,238,5,600,20,20,0.04,0.05,20,True,30,4,50,150,0.5,0,39,0.8974358974358975
239,239,5,600,20,20,0.04,0.05,20,True,30,4,50,150,0.75,0,31,0.3548387096774194
240,240,5,600,20,20,0.04,0.05,20,True,30,4,50,150,1.0,0,24,0.0
241,241,5,600,20,20,0.04,0.05,20,True,30,4,100,100,0.0,0,0,0.0
242,242,5,600,20,20,0.04,0.05,20,True,30,4,100,50,0.25,0,31,1.8709677419354838
243,243,5,600,20,20,0.04,0.05,20,True,30,4,100,50,0.5,0,32,1.4375
244,244,5,600,20,20,0.04,0.05,20,True,30,4,100,50,0.75,0,28,0.42857142857142855
245,245,5,600,20,20,0.04,0.05,20,True,30,4,100,50,1.0,0,38,0.0
246,246,5,600,20,20,0.04,0.05,20,True,30,4,100,150,0.0,0,0,0.0
247,247,5,600,20,20,0.04,0.05,20,True,30,4,100,100,0.25,0,30,2.3333333333333335
248,248,5,600,20,20,0.04,0.05,20,True,30,4,100,100,0.5,0,28,1.6428571428571428
249,249,5,600,20,20,0.04,0.05,20,True,30,4,100,100,0.75,0,30,0.6666666666666666
250,250,5,600,20,20,0.04,0.05,20,True,30,4,100,100,1.0,0,22,0.0
251,251,5,600,20,20,0.04,0.05,20,True,30,4,100,150,0.25,0,27,2.814814814814815
252,252,5,600,20,20,0.04,0.05,20,True,30,4,100,150,0.5,0,25,2.32
253,253,5,600,20,20,0.04,0.05,20,True,30,4,100,150,0.75,0,29,0.896551724137931
254,254,5,600,20,20,0.04,0.05,20,True,30,4,150,50,0.0,0,0,0.0
255,255,5,600,20,20,0.04,0.05,20,True,30,4,100,150,1.0,0,24,0.0
256,256,5,600,20,20,0.04,0.05,20,True,30,4,150,100,0.0,0,0,0.0
257,257,5,600,20,20,0.04,0.05,20,True,30,4,150,50,0.75,0,31,0.7096774193548387
258,258,5,600,20,20,0.04,0.05,20,True,30,4,150,50,0.5,0,21,2.2857142857142856
259,259,5,600,20,20,0.04,0.05,20,True,30,4,150,50,0.25,0,37,1.6756756756756757
260,260,5,600,20,20,0.04,0.05,20,True,30,4,150,50,1.0,0,45,0.0
261,261,5,600,20,20,0.04,0.05,20,True,30,4,150,100,0.25,0,38,2.4473684210526314
262,262,5,600,20,20,0.04,0.05,20,True,30,4,150,100,0.5,0,32,2.15625
263,263,5,600,20,20,0.04,0.05,20,True,30,4,150,150,0.0,0,0,0.0
264,264,5,600,20,20,0.04,0.05,20,True,30,4,150,100,1.0,0,35,0.0
265,265,5,600,20,20,0.04,0.05,20,True,30,4,150,100,0.75,0,35,0.8285714285714286
266,266,5,600,20,20,0.04,0.05,20,True,30,4,150,150,0.5,0,39,2.1025641025641026
267,267,5,600,20,20,0.04,0.05,20,True,30,4,150,150,0.75,0,29,1.2758620689655173
268,268,5,600,20,20,0.04,0.05,20,True,30,4,150,150,0.25,0,24,4.958333333333333
269,269,5,600,20,20,0.04,0.05,20,True,30,4,150,150,1.0,0,29,0.0
270,270,6,600,20,20,0.04,0.05,20,True,30,4,50,50,0.25,0,34,0.9411764705882353
271,271,6,600,20,20,0.04,0.05,20,True,30,4,50,50,0.0,0,25,1.96
272,272,6,600,20,20,0.04,0.05,20,True,30,4,50,100,0.0,0,0,0.0
273,273,6,600,20,20,0.04,0.05,20,True,30,4,50,50,0.75,0,33,0.3939393939393939
274,274,6,600,20,20,0.04,0.05,20,True,30,4,50,50,0.5,0,39,0.48717948717948717
275,275,6,600,20,20,0.04,0.05,20,True,30,4,50,50,1.0,0,33,0.0
276,276,6,600,20,20,0.04,0.05,20,True,30,4,50,100,0.5,0,32,0.78125
277,277,6,600,20,20,0.04,0.05,20,True,30,4,50,100,0.25,0,32,1.25
278,278,6,600,20,20,0.04,0.05,20,True,30,4,50,150,0.0,0,0,0.0
279,279,6,600,20,20,0.04,0.05,20,True,30,4,50,100,0.75,0,33,0.45454545454545453
280,280,6,600,20,20,0.04,0.05,20,True,30,4,50,100,1.0,0,32,0.0
281,281,6,600,20,20,0.04,0.05,20,True,30,4,50,150,0.5,0,28,1.0714285714285714
282,282,6,600,20,20,0.04,0.05,20,True,30,4,50,150,0.25,0,22,3.1818181818181817
283,283,6,600,20,20,0.04,0.05,20,True,30,4,100,50,0.0,0,27,3.111111111111111
284,284,6,600,20,20,0.04,0.05,20,True,30,4,100,50,0.5,0,40,1.05
285,285,6,600,20,20,0.04,0.05,20,True,30,4,50,150,0.75,0,24,0.5416666666666666
286,286,6,600,20,20,0.04,0.05,20,True,30,4,100,50,0.25,0,34,1.6764705882352942
287,287,6,600,20,20,0.04,0.05,20,True,30,4,50,150,1.0,0,34,0.0
288,288,6,600,20,20,0.04,0.05,20,True,30,4,100,100,0.0,0,0,0.0
289,289,6,600,20,20,0.04,0.05,20,True,30,4,100,50,0.75,0,25,0.4
290,290,6,600,20,20,0.04,0.05,20,True,30,4,100,50,1.0,0,26,0.0
291,291,6,600,20,20,0.04,0.05,20,True,30,4,100,150,0.0,0,0,0.0
292,292,6,600,20,20,0.04,0.05,20,True,30,4,100,100,0.5,0,28,1.6785714285714286
293,293,6,600,20,20,0.04,0.05,20,True,30,4,100,100,0.25,0,32,2.15625
294,294,6,600,20,20,0.04,0.05,20,True,30,4,100,100,1.0,0,31,0.0
295,295,6,600,20,20,0.04,0.05,20,True,30,4,100,100,0.75,0,32,0.78125
