,RunId,iteration,Step,width,height,sheep_reproduce,wolf_reproduce,wolf_gain_from_food,grass,grass_regrowth_time,sheep_gain_from_food,initial_sheep,initial_wolves,diseaseLimiar,Wolves,Sheep
0,0,0,0,20,20,0.04,0.05,20,True,30,4,50,50,0.75,50,50
1,0,0,10,20,20,0.04,0.05,20,True,30,4,50,50,0.75,59,25
2,1,0,0,20,20,0.04,0.05,20,True,30,4,50,50,0.25,50,50
3,1,0,10,20,20,0.04,0.05,20,True,30,4,50,50,0.25,42,35
4,2,0,0,20,20,0.04,0.05,20,True,30,4,50,50,0.0,50,50
5,2,0,10,20,20,0.04,0.05,20,True,30,4,50,50,0.0,53,44
6,3,0,0,20,20,0.04,0.05,20,True,30,4,50,50,0.5,50,50
7,3,0,10,20,20,0.04,0.05,20,True,30,4,50,50,0.5,55,31
8,4,0,0,20,20,0.04,0.05,20,True,30,4,50,100,0.75,100,50
9,4,0,10,20,20,0.04,0.05,20,True,30,4,50,100,0.75,121,8
10,5,0,0,20,20,0.04,0.05,20,True,30,4,50,100,0.25,100,50
11,5,0,10,20,20,0.04,0.05,20,True,30,4,50,100,0.25,99,43
12,6,0,0,20,20,0.04,0.05,20,True,30,4,50,150,0.5,150,50
13,6,0,10,20,20,0.04,0.05,20,True,30,4,50,150,0.5,150,24
14,7,0,0,20,20,0.04,0.05,20,True,30,4,50,150,0.0,150,50
15,7,0,10,20,20,0.04,0.05,20,True,30,4,50,150,0.0,150,44
16,8,0,0,20,20,0.04,0.05,20,True,30,4,50,150,0.25,150,50
17,8,0,10,20,20,0.04,0.05,20,True,30,4,50,150,0.25,140,29
18,9,0,0,20,20,0.04,0.05,20,True,30,4,50,100,0.0,100,50
19,9,0,10,20,20,0.04,0.05,20,True,30,4,50,100,0.0,110,37
20,10,0,0,20,20,0.04,0.05,20,True,30,4,50,150,0.75,150,50
21,10,0,10,20,20,0.04,0.05,20,True,30,4,50,150,0.75,140,13
22,11,0,0,20,20,0.04,0.05,20,True,30,4,100,50,0.5,50,100
23,11,0,10,20,20,0.04,0.05,20,True,30,4,100,50,0.5,58,45
24,12,0,0,20,20,0.04,0.05,20,True,30,4,50,100,0.5,100,50
25,12,0,10,20,20,0.04,0.05,20,True,30,4,50,100,0.5,117,27
26,13,0,0,20,20,0.04,0.05,20,True,30,4,100,50,0.0,50,100
27,13,0,10,20,20,0.04,0.05,20,True,30,4,100,50,0.0,49,64
28,14,0,0,20,20,0.04,0.05,20,True,30,4,100,50,0.25,50,100
29,14,0,10,20,20,0.04,0.05,20,True,30,4,100,50,0.25,52,54
30,15,0,0,20,20,0.04,0.05,20,True,30,4,100,50,0.75,50,100
